Root,Expertise,MappedExpertise,Actors,Count
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Okim Kang,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Okim Kang,
Expertise,Disciplinary Areas,Literacy (e.g. reading/reading comprehension writing language learning),Okim Kang,
Expertise,AI Approaches and Technologies,Machine learning,Jacob Whitehill,
Expertise,AI Approaches and Technologies,Computer vision technologies,Jacob Whitehill,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Jacob Whitehill,
Expertise,Analytics,Multimodal data analysis,Jacob Whitehill,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,John H. L. Hansen,
Expertise,Equity and Social Justice,Mental health,John H. L. Hansen,
Expertise,Equity and Social Justice,Accessibility and technology,Lorna Quandt,
Expertise,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Lorna Quandt,
Expertise,Learning Processes and Theories,Neuroscience,Lorna Quandt,
Expertise,Other Domains,Nanotechnology,Dinadayalane Tandabany,
Expertise,Other Domains,Chemistry,Dinadayalane Tandabany,
Expertise,AI Approaches and Technologies,Machine learning,Dinadayalane Tandabany,
Expertise,AI Approaches and Technologies,AI,Dinadayalane Tandabany,
Expertise,Other Domains,Computing technology,Dinadayalane Tandabany,
Expertise,Analytics,Learning analytics,Salam Khan,
Expertise,Analytics,Computer vision,Salam Khan,
Expertise,AI Approaches and Technologies,Machine learning,Salam Khan,
Expertise,Other Domains,Mathematics,Salam Khan,
Expertise,Other Domains,Physics,Salam Khan,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Salam Khan,
Expertise,Research Methods,Experimental Design,Salam Khan,
Expertise,Analytics,Learning analytics,Alejandra Magana-de-Leon,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Alejandra Magana-de-Leon,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Alejandra Magana-de-Leon,
Expertise,AI Approaches and Technologies,AI knowledge representation and reasoning,Alejandra Magana-de-Leon,
Expertise,AI Approaches and Technologies,AI,Alejandra Magana-de-Leon,
Expertise,Learning Processes and Theories,Embodied learning and cognition,Alejandra Magana-de-Leon,
Expertise,Disciplinary Areas,Computer science education,Alejandra Magana-de-Leon,
Expertise,Disciplinary Areas,Data science education,Alejandra Magana-de-Leon,
Expertise,Disciplinary Areas,Science education,Colleen Megowan-Romanowicz,
Expertise,Research Methods,HCI,Kwangtaek Kim,
Expertise,Equity and Social Justice,Accessibility and technology,Kwangtaek Kim,
Expertise,AI Approaches and Technologies,Robots,Kwangtaek Kim,
Expertise,Other Domains,Content security,Kwangtaek Kim,
Expertise,Learning Environments and Platforms,Smart & connected communities for learning,Kwangtaek Kim,
Expertise,Learning Environments and Platforms,Interactive Displays,Kwangtaek Kim,
Expertise,Capacity Building,Workforce development,Kwangtaek Kim,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Kwangtaek Kim,
Expertise,Learning Environments and Platforms,Games and game making,Kwangtaek Kim,
Expertise,Capacity Building,Instructional Design,Shiting Lan,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Shiting Lan,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Shiting Lan,
Expertise,AI Approaches and Technologies,AI,Shiting Lan,
Expertise,Research Methods,Human-AI Interaction,Shiting Lan,
Expertise,Research Methods,HCI,Neil Heffernan,
Expertise,AI Approaches and Technologies,AI,Neil Heffernan,
Expertise,Analytics,Data mining,Neil Heffernan,
Expertise,Disciplinary Areas,Math education,Neil Heffernan,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Neil Heffernan,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Neil Heffernan,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Qi Wang,
Expertise,Other Domains,Brain function,Qi Wang,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Qi Wang,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Qi Wang,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Qi Wang,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Rhonda Christensen,
Expertise,Disciplinary Areas,Science education,Rhonda Christensen,
Expertise,Disciplinary Areas,Math education,Rhonda Christensen,
Expertise,Disciplinary Areas,Engineering education,Rhonda Christensen,
Expertise,Other Domains,Software engineering,Rhonda Christensen,
Expertise,Learning Environments and Platforms,Mobile learning,Rhonda Christensen,
Expertise,Capacity Building,Instructional Design,Ross Higashi,
Expertise,Capacity Building,Educator professional learning,Ross Higashi,
Expertise,Disciplinary Areas,Computational thinking,Ross Higashi,
Expertise,Learning Environments and Platforms,MOOCs,Ross Higashi,
Expertise,Disciplinary Areas,Robotics education,Ross Higashi,
Expertise,Research Methods,HCI,Cristina Heffernan,
Expertise,AI Approaches and Technologies,AI,Cristina Heffernan,
Expertise,Analytics,Data mining,Cristina Heffernan,
Expertise,Disciplinary Areas,Math education,Cristina Heffernan,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Cristina Heffernan,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Cristina Heffernan,
Expertise,Analytics,Learning analytics,Nikolas Martelaro,
Expertise,Research Methods,HCI,Nikolas Martelaro,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Nikolas Martelaro,
Expertise,Equity and Social Justice,Accessibility and technology,Nikolas Martelaro,
Expertise,AI Approaches and Technologies,AI,Nikolas Martelaro,
Expertise,AI Approaches and Technologies,Pedagogical agents,Nikolas Martelaro,
Expertise,Research Methods,Design Research,Nikolas Martelaro,
Expertise,Research Methods,Human-AI Interaction,Nikolas Martelaro,
Expertise,Other Domains,Manufacturing,Nikolas Martelaro,
Expertise,Other Domains,Autonomous technology,Nikolas Martelaro,
Expertise,Analytics,Learning analytics,Joshua Sunshine,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Joshua Sunshine,
Expertise,Other Domains,Programming,Joshua Sunshine,
Expertise,Research Methods,HCI,Joshua Sunshine,
Expertise,AI Approaches and Technologies,Ethical AI,Joshua Sunshine,
Expertise,AI Approaches and Technologies,Machine learning,Joshua Sunshine,
Expertise,Analytics,Data mining,Joshua Sunshine,
Expertise,Other Domains,Software engineering,Joshua Sunshine,
Expertise,Analytics,Data visualization representations and dashboards,Joshua Sunshine,
Expertise,Other Domains,Computing technology,Joshua Sunshine,
Expertise,Other Domains,Computing technology,Joshua Sunshine,
Expertise,Other Domains,Software engineering,Joshua Sunshine,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Sang Won Lee,
Expertise,Other Domains,Programming,Sang Won Lee,
Expertise,Research Methods,HCI,Sang Won Lee,
Expertise,Learning Processes and Theories,Creativity,Sang Won Lee,
Expertise,AI Approaches and Technologies,Ethical AI,Mark Riedl,
Expertise,AI Approaches and Technologies,Machine learning,Mark Riedl,
Expertise,AI Approaches and Technologies,AI,Mark Riedl,
Expertise,AI Approaches and Technologies,Bias and equity in AI,Mark Riedl,
Expertise,Equity and Social Justice,Broadening participation of historically marginalized groups,Jennifer Cross,
Expertise,AI Approaches and Technologies,Robots,Jennifer Cross,
Expertise,Capacity Building,Workforce development,Jennifer Cross,
Expertise,Research Methods,Mixed methods,Jennifer Cross,
Expertise,Research Methods,Human-AI Interaction,Jennifer Cross,
Expertise,Disciplinary Areas,Science education,Emily Moore,
Expertise,Equity and Social Justice,Inclusive/universal design,Emily Moore,
Expertise,Equity and Social Justice,Accessibility and technology,Emily Moore,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Vincent Aleven,
Expertise,Learning Environments and Platforms,Games and game making,Vincent Aleven,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Meng Jiang,
Expertise,Analytics,Data mining,Meng Jiang,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Wei Yan,
Expertise,AI Approaches and Technologies,Machine learning,Wei Yan,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Wei Yan,
Expertise,AI Approaches and Technologies,AI,Wei Yan,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Wei Yan,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Yun Huang,
Expertise,Research Methods,HCI,Yun Huang,
Expertise,Research Methods,Crowdsourcing,Yun Huang,
Expertise,AI Approaches and Technologies,Pedagogical agents,Yun Huang,
Expertise,Learning Environments and Platforms,Mobile learning,Yun Huang,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Yun Huang,
Expertise,Research Methods,Human-AI Interaction,Yun Huang,
Expertise,Learning Environments and Platforms,Interactive Displays,Michael Horn,
Expertise,Research Methods,HCI,Michael Horn,
Expertise,Analytics,Data mining,Gregory Chung,
Expertise,Learning Environments and Platforms,Games and game making,Gregory Chung,
Expertise,Disciplinary Areas,Science education,Claire Christensen,
Expertise,Disciplinary Areas,Math education,Claire Christensen,
Expertise,Disciplinary Areas,Engineering education,Claire Christensen,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Devin Harris,
Expertise,Disciplinary Areas,Engineering education,Devin Harris,
Expertise,Analytics,Graphics,Devin Harris,
Expertise,Equity and Social Justice,Broadening participation of historically marginalized groups,Julie Washington,
Expertise,Disciplinary Areas,ELA education,Julie Washington,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Julie Washington,
Expertise,Other Domains,Medicine,Robin Morris,
Expertise,Other Domains,Brain function,Robin Morris,
Expertise,Equity and Social Justice,Inclusive/universal design,Robin Morris,
Expertise,Learning Processes and Theories,Neuroscience,Robin Morris,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Mari Ostendorf,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Abeer Alwan,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Diane Litman,
Expertise,AI Approaches and Technologies,AI,Diane Litman,
Expertise,Other Domains,Spoken language,Diane Litman,
Expertise,Research Methods,HCI,Diane Litman,
Expertise,Capacity Building,Instructional Design,Elaine Wang,
Expertise,Capacity Building,Policy,Elaine Wang,
Expertise,Capacity Building,Educator professional learning,Elaine Wang,
Expertise,Disciplinary Areas,ELA education,Elaine Wang,
Expertise,Capacity Building,Evaluation,Elaine Wang,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Richard Mayer,
Expertise,Learning Environments and Platforms,Online learning,Richard Mayer,
Expertise,Learning Processes and Theories,Media use,Richard Mayer,
Expertise,Research Methods,HCI,Nicoletta Adamo-Villani,
Expertise,AI Approaches and Technologies,Pedagogical agents,Nicoletta Adamo-Villani,
Expertise,Analytics,Data visualization representations and dashboards,Nicoletta Adamo-Villani,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Katharina Kann,
Expertise,AI Approaches and Technologies,Machine learning,Katharina Kann,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Joseph Polman,
Expertise,Disciplinary Areas,Science education,Joseph Polman,
Expertise,Disciplinary Areas,Social sciences education,Joseph Polman,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Zachary Alstad,
Expertise,Analytics,Graphics,Robert LiKamWa,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Robert LiKamWa,
Expertise,AI Approaches and Technologies,Computer vision technologies,Robert LiKamWa,
Expertise,Other Domains,Computing technology,Robert LiKamWa,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Erin Ottmar,
Expertise,Learning Processes and Theories,Social emotional learning,Erin Ottmar,
Expertise,Disciplinary Areas,Math education,Erin Ottmar,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Erin Ottmar,
Expertise,Learning Processes and Theories,Creativity,Erin Ottmar,
Expertise,Analytics,Learning analytics,Vitaliy Popov,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Vitaliy Popov,
Expertise,Other Domains,Enthnographic methods,Vitaliy Popov,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Vitaliy Popov,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Vitaliy Popov,
Expertise,Analytics,Multimodal data analysis,Vitaliy Popov,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Vitaliy Popov,
Expertise,Research Methods,Qualitative methods,Vitaliy Popov,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Vitaliy Popov,
Expertise,Analytics,Learning analytics,Vitaliy Popov,
Expertise,"Instruments, Assessment, and Measures",Formative assessment,Vitaliy Popov,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Matthew Anderson,
Expertise,Research Methods,HCI,Zhen Bai,
Expertise,Equity and Social Justice,Accessibility and technology,Zhen Bai,
Expertise,AI Approaches and Technologies,Pedagogical agents,Zhen Bai,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Zhen Bai,
Expertise,Learning Processes and Theories,Collaborative and/or participatory learning,Zhen Bai,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Zhen Bai,
Expertise,Research Methods,Human-AI Interaction,Shuchisnigdha Deb,
Expertise,Capacity Building,Workforce development,Shuchisnigdha Deb,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Shuchisnigdha Deb,
Expertise,Research Methods,HCI,Shuchisnigdha Deb,
Expertise,Disciplinary Areas,Science education,Paulo Blikstein,
Expertise,Disciplinary Areas,Computer science education,Paulo Blikstein,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Paulo Blikstein,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Paulo Blikstein,
Expertise,Equity and Social Justice,Critical theory and identity,Paulo Blikstein,
Expertise,Learning Environments and Platforms,Games and game making,Paulo Blikstein,
Expertise,Other Domains,Computing technology,Paulo Blikstein,
Expertise,Learning Environments and Platforms,Interactive Displays,Paulo Blikstein,
Expertise,AI Approaches and Technologies,AI,Lydia Chilton,
Expertise,Analytics,Data visualization representations and dashboards,Lydia Chilton,
Expertise,Other Domains,Computing technology,Lydia Chilton,
Expertise,Learning Processes and Theories,Creativity,Lydia Chilton,
Expertise,Research Methods,Design Research,Lydia Chilton,
Expertise,Research Methods,HCI,Dong Wang,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Dong Wang,
Expertise,Learning Environments and Platforms,Smart & connected communities for learning,Dong Wang,
Expertise,Analytics,Data mining,Dong Wang,
Expertise,Other Domains,Computing technology,Dong Wang,
Expertise,Research Methods,Human-AI Interaction,Dong Wang,
Expertise,AI Approaches and Technologies,AI,Wei Wang,
Expertise,Other Domains,Software engineering,Wei Wang,
Expertise,Other Domains,Computing technology,Wei Wang,
Expertise,Analytics,Learning analytics,Pengbo Chu,
Expertise,Analytics,Graphics,Pengbo Chu,
Expertise,Other Domains,Mineral processing,Pengbo Chu,
Expertise,Other Domains,Chemistry,Pengbo Chu,
Expertise,AI Approaches and Technologies,Machine learning,Pengbo Chu,
Expertise,Analytics,Learning analytics,Jung Hyup Kim,
Expertise,Capacity Building,Research partnerships,Jung Hyup Kim,
Expertise,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Jung Hyup Kim,
Expertise,Research Methods,Human-AI Interaction,Jung Hyup Kim,
Expertise,Learning Processes and Theories,Self-regulation reflection and metacognition,Jung Hyup Kim,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Martina Rau,
Expertise,Analytics,Multimodal data analysis,Martina Rau,
Expertise,Analytics,Data mining,Martina Rau,
Expertise,Analytics,Data visualization representations and dashboards,Martina Rau,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Martina Rau,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Evgeny Chukharev-Hudilainen,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Evgeny Chukharev-Hudilainen,
Expertise,Other Domains,Spoken language,Evgeny Chukharev-Hudilainen,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Alina Reznitskaya,
Expertise,Capacity Building,Educator professional learning,Alina Reznitskaya,
Expertise,Research Methods,Quantitative methods,Alina Reznitskaya,
Expertise,Capacity Building,Pedagogy,Alina Reznitskaya,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Elisa Shernoff,
Expertise,Equity and Social Justice,Broadening participation of historically marginalized groups,Elisa Shernoff,
Expertise,AI Approaches and Technologies,Natural language processing and speech technologies,Matthew Stone,
Expertise,AI Approaches and Technologies,Pedagogical agents,Matthew Stone,
Expertise,AI Approaches and Technologies,AI knowledge representation and reasoning,Matthew Stone,
Expertise,AI Approaches and Technologies,Pedagogical agents,Melissa Malzkuhn,
Expertise,Learning Processes and Theories,Creativity,Melissa Malzkuhn,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Melissa Malzkuhn,
Expertise,Analytics,Data visualization representations and dashboards,Melissa Malzkuhn,
Expertise,Disciplinary Areas,Science education,Issifu Harruna,
Expertise,Disciplinary Areas,Science education,Conrad Ingram,
Expertise,Disciplinary Areas,Science education,Xinle Li,
Expertise,Capacity Building,Educator professional learning,Lydia Davenport,
Expertise,Other Domains,Environmental Science,Jacob Oluwoye,
Expertise,Disciplinary Areas,Computer science education,Peter Clarke,
Expertise,Other Domains,Software engineering,Peter Clarke,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Peter Clarke,
Expertise,AI Approaches and Technologies,Machine learning,Peter Clarke,
Expertise,Disciplinary Areas,Math education,Anjan Biswas,
Expertise,Capacity Building,Instructional Design,Jennifer Richardson,
Expertise,Capacity Building,Educator professional learning,Jennifer Richardson,
Expertise,Learning Environments and Platforms,Online learning,Jennifer Richardson,
Expertise,Capacity Building,Pedagogy,Jennifer Richardson,
Expertise,Other Domains,Software engineering,Jennifer Richardson,
Expertise,Capacity Building,Evaluation,Jennifer Richardson,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Mina Johnson-Glenberg,
Expertise,Analytics,Graphics,Robert Clements,
Expertise,Other Domains,Physcial Sciences,Robert Clements,
Expertise,Other Domains,Medicine,Robert Clements,
Expertise,Analytics,Data mining,Robert Clements,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Robert Clements,
Expertise,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Robert Clements,
Expertise,Learning Environments and Platforms,Interactive Displays,Robert Clements,
Expertise,Analytics,Graphics,Bedrich Benes,
Expertise,Analytics,Data visualization representations and dashboards,Bedrich Benes,
Expertise,Disciplinary Areas,Math education,Stacy Shaw,
Expertise,Other Domains,Software engineering,Stacy Shaw,
Expertise,Learning Processes and Theories,Creativity,Stacy Shaw,
Expertise,Disciplinary Areas,Math education,Stacy Shaw,
Expertise,Equity and Social Justice,Mental health,Stacy Shaw,
Expertise,Research Methods,HCI,Dominic Kao,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Dominic Kao,
Expertise,Learning Environments and Platforms,Games and game making,Dominic Kao,
Expertise,Research Methods,Survey measures,Gerald Knezek,
Expertise,Other Domains,Software engineering,Gerald Knezek,
Expertise,Learning Environments and Platforms,Narrative and simulated environments,Jean Oh,
Expertise,AI Approaches and Technologies,Robots,Jean Oh,
Expertise,AI Approaches and Technologies,AI,Jean Oh,
Expertise,AI Approaches and Technologies,Computer vision technologies,Jean Oh,
Expertise,Research Methods,Human-AI Interaction,Jean Oh,
Expertise,Analytics,Learning analytics,Jeremy Jarzembak,
Expertise,Learning Environments and Platforms,Virtual and remote laboratories / field trips,Jeremy Jarzembak,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Lining Yao,
Expertise,Research Methods,Design Research,Lining Yao,
Expertise,Equity and Social Justice,Inclusive/universal design,Lining Yao,
Expertise,Research Methods,HCI,Lining Yao,
Expertise,AI Approaches and Technologies,Pedagogical agents,Keenan Crane,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Jeffrey Ogle,
Expertise,Capacity Building,Educator professional learning,Jeffrey Ogle,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Jeffrey Ogle,
Expertise,Other Domains,Philosophy,Jeffrey Ogle,
Expertise,Other Domains,Anthropology,Jeffrey Ogle,
Expertise,Equity and Social Justice,Ethics,Jeffrey Ogle,
Expertise,Capacity Building,Instructional Design,Meltem Alemdar,
Expertise,Capacity Building,Educator professional learning,Meltem Alemdar,
Expertise,Disciplinary Areas,Science education,Meltem Alemdar,
Expertise,Disciplinary Areas,Math education,Meltem Alemdar,
Expertise,Disciplinary Areas,Engineering education,Meltem Alemdar,
Expertise,AI Approaches and Technologies,Machine learning,Jivko Sinapov,
Expertise,AI Approaches and Technologies,Robots,Jivko Sinapov,
Expertise,Research Methods,Human-AI Interaction,Jivko Sinapov,
Expertise,Learning Processes and Theories,Multimodal communication,Jivko Sinapov,
Expertise,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Ann Eisenberg,
Expertise,Equity and Social Justice,Social welfare development and responsibility,Kenneth Holstein,
Expertise,AI Approaches and Technologies,Machine learning,Kenneth Holstein,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Kenneth Holstein,
Expertise,AI Approaches and Technologies,AI,Kenneth Holstein,
Expertise,Research Methods,Design Research,Kenneth Holstein,
Expertise,Research Methods,Human-AI Interaction,Kenneth Holstein,
Expertise,Learning Processes and Theories,Creativity,Chris Rogers,
Expertise,Research Methods,HCI,Francis Quek,
Expertise,AI Approaches and Technologies,Computer vision technologies,Francis Quek,
Expertise,Analytics,Data visualization representations and dashboards,Francis Quek,
Expertise,Equity and Social Justice,Accessibility and technology,Lawrence Angrave,
Expertise,Capacity Building,Instructional Design,Lawrence Angrave,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Michael Zang,
Expertise,Analytics,Learning analytics,Kilchan Choi,
Expertise,AI Approaches and Technologies,Machine learning,Kilchan Choi,
Expertise,Capacity Building,Evaluation,Kilchan Choi,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Kilchan Choi,
Expertise,AI Approaches and Technologies,Machine learning,Anirban Roy,
Expertise,AI Approaches and Technologies,Computer vision technologies,Anirban Roy,
Expertise,Disciplinary Areas,Science education,Jennifer Chiu,
Expertise,Capacity Building,Instructional Design,Jennifer Chiu,
Expertise,Capacity Building,Educator professional learning,Jennifer Chiu,
Expertise,Learning Environments and Platforms,Wearable / physiological technology,Bradford Campbell,
Expertise,Learning Environments and Platforms,Smart & connected communities for learning,Bradford Campbell,
Expertise,Learning Environments and Platforms,Informal settings,Panagiotis Apostolellis,
Expertise,Disciplinary Areas,Computer science education,Panagiotis Apostolellis,
Expertise,Research Methods,HCI,Panagiotis Apostolellis,
Expertise,Disciplinary Areas,Computational thinking,Panagiotis Apostolellis,
Expertise,Research Methods,Design Research,Panagiotis Apostolellis,
Expertise,Learning Environments and Platforms,Interactive Displays,Panagiotis Apostolellis,
Expertise,Equity and Social Justice,Cultural competence/responsiveness,Andrea Hillsamer,
Expertise,Equity and Social Justice,Broadening participation of historically marginalized groups,Alison Bailey,
Expertise,Capacity Building,Educator professional learning,Alison Bailey,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Alison Bailey,
Expertise,Other Domains,Spoken language,Alison Bailey,
Expertise,Equity and Social Justice,Critical theory and identity,Alison Bailey,
Expertise,Disciplinary Areas,ELA education,Alison Bailey,
Expertise,Research Methods,Qualitative methods,Alison Bailey,
Expertise,Analytics,Learning analytics,Richard Correnti,
Expertise,Capacity Building,Policy,Richard Correnti,
Expertise,Disciplinary Areas,Math education,Richard Correnti,
Expertise,Capacity Building,Educator professional learning,Richard Correnti,
Expertise,Capacity Building,Research partnerships,Richard Correnti,
Expertise,Research Methods,Design Research,Richard Correnti,
Expertise,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Richard Correnti,
Expertise,AI Approaches and Technologies,Machine learning,Lindsay Clare Matsumura,
Expertise,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Lindsay Clare Matsumura,
Expertise,Research Methods,Qualitative methods,Lindsay Clare Matsumura,
Expertise,Learning Environments and Platforms,Formal classroom settings,Lindsay Clare Matsumura,
Expertise,Capacity Building,Educator professional learning,Lindsay Clare Matsumura,
Expertise,Equity and Social Justice,Inclusive/universal design,Steven Coxon,
Expertise,AI Approaches and Technologies,Robots,Steven Coxon,
Expertise,Learning Processes and Theories,Creativity,Steven Coxon,
Expertise,AI Approaches and Technologies,Pedagogical agents,Christos Mousa,
Expertise,Learning Environments and Platforms,Augmented/virtual/mixed reality,Christos Mousa,
Expertise,Research Methods,HCI,Christos Mousa,
Expertise,Disciplinary Areas,ELA education,Eliana Colunga,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Eliana Colunga,
Expertise,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Eliana Colunga,
Expertise,Research Methods,HCI,Eliana Colunga,
Expertise,Analytics,Learning analytics,Ibrahim Dahlstrom-Hakki,
Expertise,Equity and Social Justice,Inclusive/universal design,Ibrahim Dahlstrom-Hakki,
Expertise,Capacity Building,Instructional design,Ibrahim Dahlstrom-Hakki,
Expertise,Learning Processes and Theories,Neuroscience,Ibrahim Dahlstrom-Hakki,
Expertise,Equity and Social Justice,Accessibility and technology,Ibrahim Dahlstrom-Hakki,
Expertise,Learning Processes and Theories,Cognitive psychology / Cognitive science,Ibrahim Dahlstrom-Hakki,
Expertise,Learning Environments and Platforms,Games and game making,Ibrahim Dahlstrom-Hakki,
